Activity_Period,RegionName,Passenger_Count
201205,Australia / Oceania,29039
200807,US,2733106
201304,Australia / Oceania,31584
200905,Canada,100903
201011,Europe,149069
201307,Middle East,18728
201704,Asia,418235
201203,Europe,171515
200605,Central America,8854
200809,US,2293054
201301,Europe,154520
200512,Canada,84853
201012,Asia,325292
201609,Asia,391076
200802,Europe,148805
201504,Central America,9865
201309,South America,5336
201903,Europe,286725
200712,Central America,13049
201610,Canada,135315
200511,Canada,73040
200803,Mexico,60169
201110,Central America,8861
200610,Central America,6479
201106,South America,5331
201508,Australia / Oceania,29559
201801,Australia / Oceania,72248
200611,Australia / Oceania,36410
201411,Asia,321116
201905,Middle East,45314
201303,Asia,333053
201104,Canada,89480
201905,Mexico,104668
200907,Central America,11470
201001,Asia,328223
201706,Australia / Oceania,49639
200710,Mexico,47658
201102,Europe,125097
200601,Australia / Oceania,35275
200810,Asia,325371
200702,Canada,87552
200812,Canada,88543
201405,Central America,9758
201312,Central America,10475
200612,Europe,162157
200603,Australia / Oceania,31218
200904,Australia / Oceania,36558
200608,Central America,11185
200902,Australia / Oceania,34753
201208,Canada,152893
200509,Mexico,33843
201212,Central America,12760
201008,US,2883478
201809,Canada,173761
201808,Asia,509451
201403,Canada,96420
201306,Australia / Oceania,35869
201612,Canada,103225
200906,Asia,320140
200808,Asia,390708
201902,Asia,425443
201201,Central America,11269
201406,US,3337175
200903,Canada,85109
201710,Central America,23048
201803,Asia,453085
201605,Europe,302382
201907,Central America,33480
201309,Mexico,53087
200804,Europe,198989
201709,Central America,23854
201011,Australia / Oceania,37752
201309,Middle East,18619
201506,Australia / Oceania,30415
201906,US,3972171
201304,Europe,214926
201205,Europe,241821
201202,US,2381898
201106,Middle East,19097
201404,Middle East,19450
201611,Europe,213202
201106,Mexico,48707
201404,Mexico,86859
200609,US,2031313
201206,Canada,128335
200801,US,1917115
201005,Central America,7947
201007,Australia / Oceania,41788
200611,Europe,153694
200909,Asia,297869
201211,Asia,320071
201105,Asia,357757
201508,Europe,363172
201801,Europe,228611
201410,Central America,13487
201807,Middle East,40257
201103,Middle East,17558
201712,US,3590008
201301,Australia / Oceania,41443
201606,Middle East,39382
201203,Australia / Oceania,31397
201103,Mexico,46908
201307,South America,5686
201606,Mexico,104005
201004,US,2462282
200802,Australia / Oceania,41357
201807,Mexico,132710
201502,Canada,85886
201903,Australia / Oceania,83828
201908,Canada,235548
200912,US,2405185
201003,Middle East,17879
200902,Europe,119693
200707,US,2514365
201111,US,2676051
200904,Europe,196835
201703,Canada,114153
200705,US,2285661
200711,US,2213515
201302,Central America,10054
201006,Canada,129362
201003,Mexico,55833
200601,Europe,151381
200811,Asia,301925
201503,Central America,10734
201311,Central America,9951
201204,Asia,333754
201402,South America,4764
201706,Europe,399897
201102,Australia / Oceania,37729
201109,Mexico,35346
201707,Canada,202844
200612,Australia / Oceania,49327
200604,Asia,323842
201507,Canada,186506
200603,Europe,167332
201109,Middle East,16023
201505,Central America,10275
201701,Mexico,109050
200704,Canada,99614
200911,Canada,66749
201808,Europe,446421
201802,Canada,108153
201701,Middle East,49473
201512,US,3214275
200811,Australia / Oceania,36478
200703,Mexico,54433
201412,Canada,96989
201501,US,2742717
200810,Europe,209762
201204,Australia / Oceania,29796
201001,Europe,130921
201102,Asia,269900
200612,Asia,332178
200604,Australia / Oceania,34065
201108,US,3029332
201705,Central America,22396
200909,Australia / Oceania,39179
